ID,Name,Team,Score,Matches_Played,Goals,Assists,Yellow_Cards,Red_Cards
74,Player 5,Team 5,14,5,4,2,0,0
75,Player 6,Team 1,15,6,0,0,1,1
76,Player 7,Team 2,16,7,1,1,0,0
77,Player 8,Team 3,17,8,2,2,1,1
78,Player 9,Team 4,18,9,3,0,0,0
79,Player 10,Team 5,19,10,4,1,1,1
80,Player 1,Team 1,0,1,0,2,0,0
81,Player 2,Team 2,1,2,1,0,1,1
82,Player 3,Team 3,2,3,2,1,0,0
83,Player 4,Team 4,3,4,3,2,1,1
84,Player 5,Team 5,4,5,4,0,0,0
85,Player 6,Team 1,5,6,0,1,1,1
86,Player 7,Team 2,6,7,1,2,0,0
87,Player 8,Team 3,7,8,2,0,1,1
88,Player 9,Team 4,8,9,3,1,0,0
89,Player 10,Team 5,9,10,4,2,1,1
90,Player 1,Team 1,10,1,0,0,0,0
91,Player 2,Team 2,11,2,1,1,1,1
92,Player 3,Team 3,12,3,2,2,0,0
93,Player 4,Team 4,13,4,3,0,1,1
94,Player 5,Team 5,14,5,4,1,0,0
95,Player 6,Team 1,15,6,0,2,1,1
96,Player 7,Team 2,16,7,1,0,0,0
97,Player 8,Team 3,17,8,2,1,1,1
98,Player 9,Team 4,18,9,3,2,0,0
99,Player 10,Team 5,19,10,4,0,1,1
100,Player 1,Team 1,0,1,0,1,0,0
101,Player 2,Team 2,1,2,1,2,1,1
102,Player 3,Team 3,2,3,2,0,0,0
103,Player 4,Team 4,3,4,3,1,1,1
104,Player 5,Team 5,4,5,4,2,0,0
105,Player 6,Team 1,5,6,0,0,1,1
106,Player 7,Team 2,6,7,1,1,0,0
107,Player 8,Team 3,7,8,2,2,1,1
108,Player 9,Team 4,8,9,3,0,0,0
109,Player 10,Team 5,9,10,4,1,1,1
110,Player 1,Team 1,10,1,0,2,0,0
111,Player 2,Team 2,11,2,1,0,1,1
112,Player 3,Team 3,12,3,2,1,0,0
113,Player 4,Team 4,13,4,3,2,1,1
114,Player 5,Team 5,14,5,4,0,0,0
115,Player 6,Team 1,15,6,0,1,1,1
116,Player 7,Team 2,16,7,1,2,0,0
117,Player 8,Team 3,17,8,2,0,1,1
118,Player 9,Team 4,18,9,3,1,0,0
119,Player 10,Team 5,19,10,4,2,1,1
120,Player 1,Team 1,0,1,0,0,0,0
121,Player 2,Team 2,1,2,1,1,1,1
122,Player 3,Team 3,2,3,2,2,0,0
123,Player 4,Team 4,3,4,3,0,1,1
124,Player 5,Team 5,4,5,4,1,0,0
125,Player 6,Team 1,5,6,0,2,1,1
126,Player 7,Team 2,6,7,1,0,0,0
127,Player 8,Team 3,7,8,2,1,1,1
128,Player 9,Team 4,8,9,3,2,0,0
129,Player 10,Team 5,9,10,4,0,1,1
130,Player 1,Team 1,10,1,0,1,0,0
131,Player 2,Team 2,11,2,1,2,1,1
132,Player 3,Team 3,12,3,2,0,0,0
133,Player 4,Team 4,13,4,3,1,1,1
134,Player 5,Team 5,14,5,4,2,0,0
135,Player 6,Team 1,15,6,0,0,1,1
136,Player 7,Team 2,16,7,1,1,0,0
137,Player 8,Team 3,17,8,2,2,1,1
138,Player 9,Team 4,18,9,3,0,0,0
139,Player 10,Team 5,19,10,4,1,1,1
140,Player 1,Team 1,0,1,0,2,0,0
141,Player 2,Team 2,1,2,1,0,1,1
142,Player 3,Team 3,2,3,2,1,0,0
143,Player 4,Team 4,3,4,3,2,1,1
144,Player 5,Team 5,4,5,4,0,0,0
145,Player 6,Team 1,5,6,0,1,1,1
146,Player 7,Team 2,6,7,1,2,0,0
147,Player 8,Team 3,7,8,2,0,1,1
148,Player 9,Team 4,8,9,3,1,0,0
149,Player 10,Team 5,9,10,4,2,1,1
150,Player 1,Team 1,10,1,0,0,0,0
151,Player 2,Team 2,11,2,1,1,1,1
152,Player 3,Team 3,12,3,2,2,0,0
153,Player 4,Team 4,13,4,3,0,1,1
154,Player 5,Team 5,14,5,4,1,0,0
155,Player 6,Team 1,15,6,0,2,1,1
156,Player 7,Team 2,16,7,1,0,0,0
157,Player 8,Team 3,17,8,2,1,1,1
158,Player 9,Team 4,18,9,3,2,0,0
159,Player 10,Team 5,19,10,4,0,1,1
160,Player 1,Team 1,0,1,0,1,0,0
161,Player 2,Team 2,1,2,1,2,1,1
162,Player 3,Team 3,2,3,2,0,0,0
163,Player 4,Team 4,3,4,3,1,1,1
164,Player 5,Team 5,4,5,4,2,0,0
165,Player 6,Team 1,5,6,0,0,1,1
166,Player 7,Team 2,6,7,1,1,0,0
167,Player 8,Team 3,7,8,2,2,1,1
168,Player 9,Team 4,8,9,3,0,0,0
169,Player 10,Team 5,9,10,4,1,1,1
170,Player 1,Team 1,10,1,0,2,0,0
171,Player 2,Team 2,11,2,1,0,1,1
172,Player 3,Team 3,12,3,2,1,0,0
173,Player 4,Team 4,13,4,3,2,1,1
174,Player 5,Team 5,14,5,4,0,0,0
175,Player 6,Team 1,15,6,0,1,1,1
176,Player 7,Team 2,16,7,1,2,0,0
177,Player 8,Team 3,17,8,2,0,1,1
178,Player 9,Team 4,18,9,3,1,0,0
179,Player 10,Team 5,19,10,4,2,1,1
180,Player 1,Team 1,0,1,0,0,0,0
181,Player 2,Team 2,1,2,1,1,1,1
182,Player 3,Team 3,2,3,2,2,0,0
183,Player 4,Team 4,3,4,3,0,1,1
184,Player 5,Team 5,4,5,4,1,0,0
185,Player 6,Team 1,5,6,0,2,1,1
186,Player 7,Team 2,6,7,1,0,0,0
187,Player 8,Team 3,7,8,2,1,1,1
188,Player 9,Team 4,8,9,3,2,0,0
189,Player 10,Team 5,9,10,4,0,1,1
190,Player 1,Team 1,10,1,0,1,0,0
191,Player 2,Team 2,11,2,1,2,1,1
192,Player 3,Team 3,12,3,2,0,0,0
193,Player 4,Team 4,13,4,3,1,1,1
194,Player 5,Team 5,14,5,4,2,0,0
195,Player 6,Team 1,15,6,0,0,1,1
196,Player 7,Team 2,16,7,1,1,0,0
197,Player 8,Team 3,17,8,2,2,1,1
198,Player 9,Team 4,18,9,3,0,0,0
199,Player 10,Team 5,19,10,4,1,1,1
200,Player 1,Team 1,0,1,0,2,0,0
201,Player 2,Team 2,1,2,1,0,1,1
202,Player 3,Team 3,2,3,2,1,0,0
203,Player 4,Team 4,3,4,3,2,1,1
204,Player 5,Team 5,4,5,4,0,0,0
205,Player 6,Team 1,5,6,0,1,1,1
206,Player 7,Team 2,6,7,1,2,0,0
207,Player 8,Team 3,7,8,2,0,1,1
208,Player 9,Team 4,8,9,3,1,0,0
209,Player 10,Team 5,9,10,4,2,1,1
210,Player 1,Team 1,10,1,0,0,0,0
211,Player 2,Team 2,11,2,1,1,1,1
212,Player 3,Team 3,12,3,2,2,0,0
213,Player 4,Team 4,13,4,3,0,1,1
214,Player 5,Team 5,14,5,4,1,0,0
215,Player 6,Team 1,15,6,0,2,1,1
216,Player 7,Team 2,16,7,1,0,0,0
217,Player 8,Team 3,17,8,2,1,1,1
218,Player 9,Team 4,18,9,3,2,0,0
219,Player 10,Team 5,19,10,4,0,1,1
220,Player 1,Team 1,0,1,0,1,0,0
221,Player 2,Team 2,1,2,1,2,1,1
222,Player 3,Team 3,2,3,2,0,0,0
223,Player 4,Team 4,3,4,3,1,1,1
224,Player 5,Team 5,4,5,4,2,0,0
225,Player 6,Team 1,5,6,0,0,1,1
226,Player 7,Team 2,6,7,1,1,0,0
227,Player 8,Team 3,7,8,2,2,1,1
228,Player 9,Team 4,8,9,3,0,0,0
229,Player 10,Team 5,9,10,4,1,1,1
230,Player 1,Team 1,10,1,0,2,0,0
231,Player 2,Team 2,11,2,1,0,1,1
232,Player 3,Team 3,12,3,2,1,0,0
233,Player 4,Team 4,13,4,3,2,1,1
234,Player 5,Team 5,14,5,4,0,0,0
235,Player 6,Team 1,15,6,0,1,1,1
236,Player 7,Team 2,16,7,1,2,0,0
237,Player 8,Team 3,17,8,2,0,1,1
238,Player 9,Team 4,18,9,3,1,0,0
239,Player 10,Team 5,19,10,4,2,1,1
240,Player 1,Team 1,0,1,0,0,0,0
241,Player 2,Team 2,1,2,1,1,1,1
242,Player 3,Team 3,2,3,2,2,0,0
243,Player 4,Team 4,3,4,3,0,1,1
244,Player 5,Team 5,4,5,4,1,0,0
245,Player 6,Team 1,5,6,0,2,1,1
246,Player 7,Team 2,6,7,1,0,0,0
247,Player 8,Team 3,7,8,2,1,1,1
248,Player 9,Team 4,8,9,3,2,0,0
249,Player 10,Team 5,9,10,4,0,1,1
250,Player 1,Team 1,10,1,0,1,0,0
251,Player 2,Team 2,11,2,1,2,1,1
252,Player 3,Team 3,12,3,2,0,0,0
253,Player 4,Team 4,13,4,3,1,1,1
254,Player 5,Team 5,14,5,4,2,0,0
255,Player 6,Team 1,15,6,0,0,1,1
256,Player 7,Team 2,16,7,1,1,0,0
257,Player 8,Team 3,17,8,2,2,1,1
258,Player 9,Team 4,18,9,3,0,0,0
259,Player 10,Team 5,19,10,4,1,1,1
260,Player 1,Team 1,0,1,0,2,0,0
261,Player 2,Team 2,1,2,1,0,1,1
262,Player 3,Team 3,2,3,2,1,0,0
263,Player 4,Team 4,3,4,3,2,1,1
264,Player 5,Team 5,4,5,4,0,0,0
265,Player 6,Team 1,5,6,0,1,1,1
266,Player 7,Team 2,6,7,1,2,0,0
267,Player 8,Team 3,7,8,2,0,1,1
268,Player 9,Team 4,8,9,3,1,0,0
269,Player 10,Team 5,9,10,4,2,1,1
270,Player 1,Team 1,10,1,0,0,0,0
271,Player 2,Team 2,11,2,1,1,1,1
272,Player 3,Team 3,12,3,2,2,0,0
273,Player 4,Team 4,13,4,3,0,1,1
274,Player 5,Team 5,14,5,4,1,0,0
275,Player 6,Team 1,15,6,0,2,1,1
276,Player 7,Team 2,16,7,1,0,0,0
277,Player 8,Team 3,17,8,2,1,1,1
278,Player 9,Team 4,18,9,3,2,0,0
279,Player 10,Team 5,19,10,4,0,1,1
280,Player 1,Team 1,0,1,0,1,0,0
281,Player 2,Team 2,1,2,1,2,1,1
282,Player 3,Team 3,2,3,2,0,0,0
283,Player 4,Team 4,3,4,3,1,1,1
284,Player 5,Team 5,4,5,4,2,0,0
285,Player 6,Team 1,5,6,0,0,1,1
286,Player 7,Team 2,6,7,1,1,0,0
287,Player 8,Team 3,7,8,2,2,1,1
288,Player 9,Team 4,8,9,3,0,0,0
289,Player 10,Team 5,9,10,4,1,1,1
290,Player 1,Team 1,10,1,0,2,0,0
291,Player 2,Team 2,11,2,1,0,1,1
292,Player 3,Team 3,12,3,2,1,0,0
293,Player 4,Team 4,13,4,3,2,1,1
294,Player 5,Team 5,14,5,4,0,0,0
295,Player 6,Team 1,15,6,0,1,1,1
296,Player 7,Team 2,16,7,1,2,0,0
297,Player 8,Team 3,17,8,2,0,1,1
298,Player 9,Team 4,18,9,3,1,0,0
299,Player 10,Team 5,19,10,4,2,1,1
300,Player 1,Team 1,0,1,0,0,0,0
301,Player 2,Team 2,1,2,1,1,1,1
302,Player 3,Team 3,2,3,2,2,0,0
303,Player 4,Team 4,3,4,3,0,1,1
304,Player 5,Team 5,4,5,4,1,0,0
305,Player 6,Team 1,5,6,0,2,1,1
306,Player 7,Team 2,6,7,1,0,0,0
307,Player 8,Team 3,7,8,2,1,1,1
308,Player 9,Team 4,8,9,3,2,0,0
309,Player 10,Team 5,9,10,4,0,1,1
310,Player 1,Team 1,10,1,0,1,0,0
311,Player 2,Team 2,11,2,1,2,1,1
312,Player 3,Team 3,12,3,2,0,0,0
313,Player 4,Team 4,13,4,3,1,1,1
314,Player 5,Team 5,14,5,4,2,0,0
315,Player 6,Team 1,15,6,0,0,1,1
316,Player 7,Team 2,16,7,1,1,0,0
317,Player 8,Team 3,17,8,2,2,1,1
318,Player 9,Team 4,18,9,3,0,0,0
319,Player 10,Team 5,19,10,4,1,1,1
320,Player 1,Team 1,0,1,0,2,0,0
321,Player 2,Team 2,1,2,1,0,1,1
322,Player 3,Team 3,2,3,2,1,0,0
323,Player 4,Team 4,3,4,3,2,1,1
324,Player 5,Team 5,4,5,4,0,0,0
325,Player 6,Team 1,5,6,0,1,1,1
326,Player 7,Team 2,6,7,1,2,0,0
327,Player 8,Team 3,7,8,2,0,1,1
328,Player 9,Team 4,8,9,3,1,0,0
329,Player 10,Team 5,9,10,4,2,1,1
330,Player 1,Team 1,10,1,0,0,0,0
331,Player 2,Team 2,11,2,1,1,1,1
332,Player 3,Team 3,12,3,2,2,0,0
333,Player 4,Team 4,13,4,3,0,1,1
334,Player 5,Team 5,14,5,4,1,0,0
335,Player 6,Team 1,15,6,0,2,1,1
336,Player 7,Team 2,16,7,1,0,0,0
337,Player 8,Team 3,17,8,2,1,1,1
338,Player 9,Team 4,18,9,3,2,0,0
339,Player 10,Team 5,19,10,4,0,1,1
340,Player 1,Team 1,0,1,0,1,0,0
341,Player 2,Team 2,1,2,1,2,1,1
342,Player 3,Team 3,2,3,2,0,0,0
343,Player 4,Team 4,3,4,3,1,1,1
344,Player 5,Team 5,4,5,4,2,0,0
345,Player 6,Team 1,5,6,0,0,1,1
346,Player 7,Team 2,6,7,1,1,0,0
347,Player 8,Team 3,7,8,2,2,1,1
348,Player 9,Team 4,8,9,3,0,0,0
349,Player 10,Team 5,9,10,4,1,1,1
350,Player 1,Team 1,10,1,0,2,0,0
351,Player 2,Team 2,11,2,1,0,1,1
352,Player 3,Team 3,12,3,2,1,0,0
353,Player 4,Team 4,13,4,3,2,1,1
354,Player 5,Team 5,14,5,4,0,0,0
355,Player 6,Team 1,15,6,0,1,1,1
356,Player 7,Team 2,16,7,1,2,0,0
357,Player 8,Team 3,17,8,2,0,1,1
358,Player 9,Team 4,18,9,3,1,0,0
359,Player 10,Team 5,19,10,4,2,1,1
360,Player 1,Team 1,0,1,0,0,0,0
361,Player 2,Team 2,1,2,1,1,1,1
362,Player 3,Team 3,2,3,2,2,0,0
363,Player 4,Team 4,3,4,3,0,1,1
364,Player 5,Team 5,4,5,4,1,0,0
365,Player 6,Team 1,5,6,0,2,1,1
366,Player 7,Team 2,6,7,1,0,0,0
367,Player 8,Team 3,7,8,2,1,1,1
368,Player 9,Team 4,8,9,3,2,0,0
369,Player 10,Team 5,9,10,4,0,1,1
370,Player 1,Team 1,10,1,0,1,0,0
371,Player 2,Team 2,11,2,1,2,1,1
372,Player 3,Team 3,12,3,2,0,0,0
373,Player 4,Team 4,13,4,3,1,1,1
374,Player 5,Team 5,14,5,4,2,0,0
375,Player 6,Team 1,15,6,0,0,1,1
376,Player 7,Team 2,16,7,1,1,0,0
377,Player 8,Team 3,17,8,2,2,1,1
378,Player 9,Team 4,18,9,3,0,0,0
379,Player 10,Team 5,19,10,4,1,1,1
380,Player 1,Team 1,0,1,0,2,0,0
381,Player 2,Team 2,1,2,1,0,1,1
382,Player 3,Team 3,2,3,2,1,0,0
383,Player 4,Team 4,3,4,3,2,1,1
384,Player 5,Team 5,4,5,4,0,0,0
385,Player 6,Team 1,5,6,0,1,1,1
386,Player 7,Team 2,6,7,1,2,0,0
387,Player 8,Team 3,7,8,2,0,1,1
388,Player 9,Team 4,8,9,3,1,0,0
389,Player 10,Team 5,9,10,4,2,1,1
390,Player 1,Team 1,10,1,0,0,0,0
391,Player 2,Team 2,11,2,1,1,1,1
392,Player 3,Team 3,12,3,2,2,0,0
393,Player 4,Team 4,13,4,3,0,1,1
394,Player 5,Team 5,14,5,4,1,0,0
395,Player 6,Team 1,15,6,0,2,1,1
396,Player 7,Team 2,16,7,1,0,0,0
397,Player 8,Team 3,17,8,2,1,1,1
398,Player 9,Team 4,18,9,3,2,0,0
399,Player 10,Team 5,19,10,4,0,1,1
400,Player 1,Team 1,0,1,0,1,0,0
401,Player 2,Team 2,1,2,1,2,1,1
402,Player 3,Team 3,2,3,2,0,0,0
403,Player 4,Team 4,3,4,3,1,1,1
404,Player 5,Team 5,4,5,4,2,0,0
405,Player 6,Team 1,5,6,0,0,1,1
406,Player 7,Team 2,6,7,1,1,0,0
407,Player 8,Team 3,7,8,2,2,1,1
408,Player 9,Team 4,8,9,3,0,0,0
409,Player 10,Team 5,9,10,4,1,1,1
410,Player 1,Team 1,10,1,0,2,0,0
411,Player 2,Team 2,11,2,1,0,1,1
412,Player 3,Team 3,12,3,2,1,0,0
413,Player 4,Team 4,13,4,3,2,1,1
414,Player 5,Team 5,14,5,4,0,0,0
415,Player 6,Team 1,15,6,0,1,1,1
416,Player 7,Team 2,16,7,1,2,0,0
417,Player 8,Team 3,17,8,2,0,1,1
418,Player 9,Team 4,18,9,3,1,0,0
419,Player 10,Team 5,19,10,4,2,1,1
420,Player 1,Team 1,0,1,0,0,0,0
421,Player 2,Team 2,1,2,1,1,1,1
422,Player 3,Team 3,2,3,2,2,0,0
423,Player 4,Team 4,3,4,3,0,1,1
424,Player 5,Team 5,4,5,4,1,0,0
425,Player 6,Team 1,5,6,0,2,1,1
426,Player 7,Team 2,6,7,1,0,0,0
427,Player 8,Team 3,7,8,2,1,1,1
428,Player 9,Team 4,8,9,3,2,0,0
429,Player 10,Team 5,9,10,4,0,1,1
430,Player 1,Team 1,10,1,0,1,0,0
431,Player 2,Team 2,11,2,1,2,1,1
432,Player 3,Team 3,12,3,2,0,0,0
433,Player 4,Team 4,13,4,3,1,1,1
434,Player 5,Team 5,14,5,4,2,0,0
435,Player 6,Team 1,15,6,0,0,1,1
436,Player 7,Team 2,16,7,1,1,0,0
437,Player 8,Team 3,17,8,2,2,1,1
438,Player 9,Team 4,18,9,3,0,0,0
439,Player 10,Team 5,19,10,4,1,1,1
440,Player 1,Team 1,0,1,0,2,0,0
441,Player 2,Team 2,1,2,1,0,1,1
442,Player 3,Team 3,2,3,2,1,0,0
443,Player 4,Team 4,3,4,3,2,1,1
444,Player 5,Team 5,4,5,4,0,0,0
445,Player 6,Team 1,5,6,0,1,1,1
446,Player 7,Team 2,6,7,1,2,0,0
447,Player 8,Team 3,7,8,2,0,1,1
448,Player 9,Team 4,8,9,3,1,0,0
449,Player 10,Team 5,9,10,4,2,1,1
450,Player 1,Team 1,10,1,0,0,0,0
451,Player 2,Team 2,11,2,1,1,1,1
452,Player 3,Team 3,12,3,2,2,0,0
453,Player 4,Team 4,13,4,3,0,1,1
454,Player 5,Team 5,14,5,4,1,0,0
455,Player 6,Team 1,15,6,0,2,1,1
456,Player 7,Team 2,16,7,1,0,0,0
457,Player 8,Team 3,17,8,2,1,1,1
458,Player 9,Team 4,18,9,3,2,0,0
459,Player 10,Team 5,19,10,4,0,1,1
460,Player 1,Team 1,0,1,0,1,0,0
461,Player 2,Team 2,1,2,1,2,1,1
462,Player 3,Team 3,2,3,2,0,0,0
463,Player 4,Team 4,3,4,3,1,1,1
464,Player 5,Team 5,4,5,4,2,0,0
465,Player 6,Team 1,5,6,0,0,1,1
466,Player 7,Team 2,6,7,1,1,0,0
467,Player 8,Team 3,7,8,2,2,1,1
468,Player 9,Team 4,8,9,3,0,0,0
469,Player 10,Team 5,9,10,4,1,1,1
470,Player 1,Team 1,10,1,0,2,0,0
471,Player 2,Team 2,11,2,1,0,1,1
472,Player 3,Team 3,12,3,2,1,0,0
473,Player 4,Team 4,13,4,3,2,1,1
474,Player 5,Team 5,14,5,4,0,0,0
475,Player 6,Team 1,15,6,0,1,1,1
476,Player 7,Team 2,16,7,1,2,0,0
477,Player 8,Team 3,17,8,2,0,1,1
478,Player 9,Team 4,18,9,3,1,0,0
479,Player 10,Team 5,19,10,4,2,1,1
480,Player 1,Team 1,0,1,0,0,0,0
481,Player 2,Team 2,1,2,1,1,1,1
482,Player 3,Team 3,2,3,2,2,0,0
483,Player 4,Team 4,3,4,3,0,1,1
484,Player 5,Team 5,4,5,4,1,0,0
485,Player 6,Team 1,5,6,0,2,1,1
486,Player 7,Team 2,6,7,1,0,0,0
487,Player 8,Team 3,7,8,2,1,1,1
488,Player 9,Team 4,8,9,3,2,0,0
489,Player 10,Team 5,9,10,4,0,1,1
490,Player 1,Team 1,10,1,0,1,0,0
491,Player 2,Team 2,11,2,1,2,1,1
492,Player 3,Team 3,12,3,2,0,0,0
493,Player 4,Team 4,13,4,3,1,1,1
494,Player 5,Team 5,14,5,4,2,0,0
495,Player 6,Team 1,15,6,0,0,1,1
496,Player 7,Team 2,16,7,1,1,0,0
497,Player 8,Team 3,17,8,2,2,1,1
498,Player 9,Team 4,18,9,3,0,0,0
499,Player 10,Team 5,19,10,4,1,1,1
500,Player 1,Team 1,0,1,0,2,0,0
501,Player 2,Team 2,1,2,1,0,1,1
502,Player 3,Team 3,2,3,2,1,0,0
503,Player 4,Team 4,3,4,3,2,1,1
504,Player 5,Team 5,4,5,4,0,0,0
505,Player 6,Team 1,5,6,0,1,1,1
506,Player 7,Team 2,6,7,1,2,0,0
507,Player 8,Team 3,7,8,2,0,1,1
508,Player 9,Team 4,8,9,3,1,0,0
509,Player 10,Team 5,9,10,4,2,1,1
510,Player 1,Team 1,10,1,0,0,0,0
511,Player 2,Team 2,11,2,1,1,1,1
512,Player 3,Team 3,12,3,2,2,0,0
513,Player 4,Team 4,13,4,3,0,1,1
514,Player 5,Team 5,14,5,4,1,0,0
515,Player 6,Team 1,15,6,0,2,1,1
516,Player 7,Team 2,16,7,1,0,0,0
517,Player 8,Team 3,17,8,2,1,1,1
518,Player 9,Team 4,18,9,3,2,0,0
519,Player 10,Team 5,19,10,4,0,1,1
520,Player 1,Team 1,0,1,0,1,0,0
521,Player 2,Team 2,1,2,1,2,1,1
522,Player 3,Team 3,2,3,2,0,0,0
523,Player 4,Team 4,3,4,3,1,1,1
524,Player 5,Team 5,4,5,4,2,0,0
525,Player 6,Team 1,5,6,0,0,1,1
526,Player 7,Team 2,6,7,1,1,0,0
527,Player 8,Team 3,7,8,2,2,1,1
528,Player 9,Team 4,8,9,3,0,0,0
529,Player 10,Team 5,9,10,4,1,1,1
530,Player 1,Team 1,10,1,0,2,0,0
531,Player 2,Team 2,11,2,1,0,1,1
532,Player 3,Team 3,12,3,2,1,0,0
533,Player 4,Team 4,13,4,3,2,1,1
534,Player 5,Team 5,14,5,4,0,0,0
535,Player 6,Team 1,15,6,0,1,1,1
536,Player 7,Team 2,16,7,1,2,0,0
537,Player 8,Team 3,17,8,2,0,1,1
538,Player 9,Team 4,18,9,3,1,0,0
539,Player 10,Team 5,19,10,4,2,1,1
540,Player 1,Team 1,0,1,0,0,0,0
541,Player 2,Team 2,1,2,1,1,1,1
542,Player 3,Team 3,2,3,2,2,0,0
543,Player 4,Team 4,3,4,3,0,1,1
544,Player 5,Team 5,4,5,4,1,0,0
545,Player 6,Team 1,5,6,0,2,1,1
546,Player 7,Team 2,6,7,1,0,0,0
547,Player 8,Team 3,7,8,2,1,1,1
548,Player 9,Team 4,8,9,3,2,0,0
549,Player 10,Team 5,9,10,4,0,1,1
550,Player 1,Team 1,10,1,0,1,0,0
551,Player 2,Team 2,11,2,1,2,1,1
552,Player 3,Team 3,12,3,2,0,0,0
553,Player 4,Team 4,13,4,3,1,1,1
554,Player 5,Team 5,14,5,4,2,0,0
555,Player 6,Team 1,15,6,0,0,1,1
556,Player 7,Team 2,16,7,1,1,0,0
557,Player 8,Team 3,17,8,2,2,1,1
558,Player 9,Team 4,18,9,3,0,0,0
559,Player 10,Team 5,19,10,4,1,1,1
560,Player 1,Team 1,0,1,0,2,0,0
561,Player 2,Team 2,1,2,1,0,1,1
562,Player 3,Team 3,2,3,2,1,0,0
563,Player 4,Team 4,3,4,3,2,1,1
564,Player 5,Team 5,4,5,4,0,0,0
565,Player 6,Team 1,5,6,0,1,1,1
566,Player 7,Team 2,6,7,1,2,0,0
567,Player 8,Team 3,7,8,2,0,1,1
568,Player 9,Team 4,8,9,3,1,0,0
569,Player 10,Team 5,9,10,4,2,1,1
570,Player 1,Team 1,10,1,0,0,0,0
571,Player 2,Team 2,11,2,1,1,1,1
572,Player 3,Team 3,12,3,2,2,0,0
573,Player 4,Team 4,13,4,3,0,1,1
574,Player 5,Team 5,14,5,4,1,0,0
575,Player 6,Team 1,15,6,0,2,1,1
576,Player 7,Team 2,16,7,1,0,0,0
577,Player 8,Team 3,17,8,2,1,1,1
578,Player 9,Team 4,18,9,3,2,0,0
579,Player 10,Team 5,19,10,4,0,1,1
